time,discharge
2015-03-27 23:30:00,44.6242
2015-03-27 23:45:00,44.5465
2015-03-28 00:00:00,44.8585
2015-03-28 00:15:00,44.6242
2015-03-28 00:30:00,44.0855
2015-03-28 00:45:00,44.5465
2015-03-28 01:00:00,44.2383
2015-03-28 01:15:00,44.2383
2015-03-28 01:30:00,44.3919
2015-03-28 01:45:00,44.3919
2015-03-28 02:00:00,44.315
2015-03-28 02:15:00,44.1618
2015-03-28 02:30:00,44.7802
2015-03-28 02:45:00,44.0855
2015-03-28 03:00:00,44.3919
2015-03-28 03:15:00,44.8585
2015-03-28 03:30:00,44.702
2015-03-28 03:45:00,44.5465
2015-03-28 04:00:00,44.6242
2015-03-28 04:15:00,44.6242
2015-03-28 04:30:00,44.8585
2015-03-28 04:45:00,44.8585
2015-03-28 05:00:00,44.9371
2015-03-28 05:15:00,45.2538
2015-03-28 05:30:00,44.702
2015-03-28 05:45:00,44.7802
2015-03-28 06:00:00,44.8585
2015-03-28 06:15:00,44.7802
2015-03-28 06:30:00,44.315
2015-03-28 06:45:00,44.9371
2015-03-28 07:00:00,45.0159
2015-03-28 07:15:00,44.9371
2015-03-28 07:30:00,44.6242
2015-03-28 07:45:00,44.7802
2015-03-28 08:00:00,44.9371
2015-03-28 08:15:00,44.1618
2015-03-28 08:30:00,44.1618
2015-03-28 08:45:00,44.0855
2015-03-28 09:00:00,44.6242
2015-03-28 09:15:00,43.7829
2015-03-28 09:30:00,43.7078
2015-03-28 09:45:00,44.0095
2015-03-28 10:00:00,43.7829
2015-03-28 10:15:00,43.7078
2015-03-28 10:30:00,43.5584
2015-03-28 10:45:00,43.7829
2015-03-28 11:00:00,43.7078
2015-03-28 11:15:00,43.484
2015-03-28 11:30:00,43.3359
2015-03-28 11:45:00,43.1888
2015-03-28 12:00:00,43.0426
2015-03-28 12:15:00,42.8251
2015-03-28 12:30:00,42.8251
2015-03-28 12:45:00,42.8251
2015-03-28 13:00:00,42.3258
2015-03-28 13:15:00,42.1852
2015-03-28 13:30:00,41.9069
2015-03-28 13:45:00,42.3964
2015-03-28 14:00:00,41.9762
2015-03-28 14:15:00,42.0456
2015-03-28 14:30:00,41.8379
2015-03-28 14:45:00,41.9069
2015-03-28 15:00:00,41.3615
2015-03-28 15:15:00,41.8379
2015-03-28 15:30:00,41.7692
2015-03-28 15:45:00,41.6324
2015-03-28 16:00:00,41.7692
2015-03-28 16:15:00,41.8379
2015-03-28 16:30:00,41.7006
2015-03-28 16:45:00,42.1153
2015-03-28 17:00:00,42.3258
2015-03-28 17:15:00,42.3258
2015-03-28 17:30:00,42.4673
2015-03-28 17:45:00,42.5384
2015-03-28 18:00:00,43.1156
2015-03-28 18:15:00,43.484
2015-03-28 18:30:00,44.2383
2015-03-28 18:45:00,44.4691
2015-03-28 19:00:00,44.702
2015-03-28 19:15:00,44.8585
2015-03-28 19:30:00,45.1742
2015-03-28 19:45:00,45.4937
2015-03-28 20:00:00,45.7358
2015-03-28 20:15:00,45.9799
2015-03-28 20:30:00,46.1439
2015-03-28 20:45:00,46.809
2015-03-28 21:00:00,46.5578
2015-03-28 21:15:00,46.725
2015-03-28 21:30:00,46.809
2015-03-28 21:45:00,47.6614
2015-03-28 22:00:00,47.3177
2015-03-28 22:15:00,47.8347
2015-03-28 22:30:00,48.272
2015-03-28 22:45:00,48.8045
2015-03-28 23:00:00,47.9217
2015-03-28 23:15:00,48.3602
2015-03-28 23:30:00,48.7152
2015-03-28 23:45:00,48.7152
2015-03-29 00:00:00,48.7152
2015-03-29 00:15:00,48.5372
2015-03-29 00:30:00,49.2546
2015-03-29 00:45:00,48.8941
2015-03-29 01:00:00,48.7152
2015-03-29 01:15:00,49.7106
2015-03-29 01:30:00,48.9838
2015-03-29 01:45:00,50.0796
2015-03-29 02:00:00,50.4523
2015-03-29 02:15:00,50.6401
2015-03-29 02:30:00,50.2655
2015-03-29 02:45:00,50.5461
2015-03-29 03:00:00,50.6401
2015-03-29 03:15:00,50.9235
2015-03-29 03:30:00,51.209
2015-03-29 03:45:00,51.209
2015-03-29 04:00:00,51.5929
2015-03-29 04:15:00,51.5929
2015-03-29 04:30:00,51.7862
2015-03-29 04:45:00,51.6894
2015-03-29 05:00:00,51.3046
2015-03-29 05:15:00,51.4965
2015-03-29 05:30:00,52.078
2015-03-29 05:45:00,50.8288
2015-03-29 06:00:00,51.7862
2015-03-29 06:15:00,52.4703
2015-03-29 06:30:00,52.2737
2015-03-29 06:45:00,51.6894
2015-03-29 07:00:00,51.9805
2015-03-29 07:15:00,52.1757
2015-03-29 07:30:00,51.3046
2015-03-29 07:45:00,51.4004
2015-03-29 08:00:00,51.8833
2015-03-29 08:15:00,51.4004
2015-03-29 08:30:00,51.6894
2015-03-29 08:45:00,51.4004
2015-03-29 09:00:00,51.4965
2015-03-29 09:15:00,51.209
2015-03-29 09:30:00,51.4004
2015-03-29 09:45:00,50.5461
2015-03-29 10:00:00,50.8288
2015-03-29 10:15:00,49.987
2015-03-29 10:30:00,50.6401
2015-03-29 10:45:00,50.5461
2015-03-29 11:00:00,49.8946
2015-03-29 11:15:00,49.987
2015-03-29 11:30:00,50.2655
2015-03-29 11:45:00,49.5275
2015-03-29 12:00:00,49.5275
2015-03-29 12:15:00,48.9838
2015-03-29 12:30:00,49.2546
2015-03-29 12:45:00,49.0739
2015-03-29 13:00:00,48.6261
2015-03-29 13:15:00,48.7152
2015-03-29 13:30:00,48.9838
2015-03-29 13:45:00,48.8045
2015-03-29 14:00:00,48.5372
2015-03-29 14:15:00,49.1641
2015-03-29 14:30:00,48.1841
2015-03-29 14:45:00,48.7152
2015-03-29 15:00:00,48.4486
2015-03-29 15:15:00,48.3602
2015-03-29 15:30:00,48.5372
2015-03-29 15:45:00,48.8045
2015-03-29 16:00:00,48.4486
2015-03-29 16:15:00,48.7152
2015-03-29 16:30:00,48.3602
2015-03-29 16:45:00,49.3454
2015-03-29 17:00:00,48.8045
2015-03-29 17:15:00,48.5372
2015-03-29 17:30:00,48.8941
2015-03-29 17:45:00,48.7152
2015-03-29 18:00:00,49.0739
2015-03-29 18:15:00,48.8941
2015-03-29 18:30:00,49.7106
2015-03-29 18:45:00,49.5275
2015-03-29 19:00:00,49.619
2015-03-29 19:15:00,49.7106
2015-03-29 19:30:00,50.5461
2015-03-29 19:45:00,50.5461
2015-03-29 20:00:00,50.4523
2015-03-29 20:15:00,50.5461
2015-03-29 20:30:00,50.4523
2015-03-29 20:45:00,51.0184
2015-03-29 21:00:00,51.4965
2015-03-29 21:15:00,50.9235
2015-03-29 21:30:00,51.4965
2015-03-29 21:45:00,51.9805
2015-03-29 22:00:00,52.3719
2015-03-29 22:15:00,51.7862
2015-03-29 22:30:00,52.767
2015-03-29 22:45:00,52.4703
2015-03-29 23:00:00,52.8664
2015-03-29 23:15:00,53.3667
2015-03-29 23:30:00,53.4674
2015-03-29 23:45:00,52.966
2015-03-30 00:00:00,53.2661
2015-03-30 00:15:00,53.7711
2015-03-30 00:30:00,53.7711
2015-03-30 00:45:00,53.9747
2015-03-30 01:00:00,54.6947
2015-03-30 01:15:00,54.3848
2015-03-30 01:30:00,55.0068
2015-03-30 01:45:00,54.9025
2015-03-30 02:00:00,55.7431
2015-03-30 02:15:00,55.7431
2015-03-30 02:30:00,55.9556
2015-03-30 02:45:00,55.6372
2015-03-30 03:00:00,55.4261
2015-03-30 03:15:00,55.6372
2015-03-30 03:30:00,56.0622
2015-03-30 03:45:00,55.6372
2015-03-30 04:00:00,55.9556
2015-03-30 04:15:00,55.7431
2015-03-30 04:30:00,56.276
2015-03-30 04:45:00,55.7431
2015-03-30 05:00:00,56.276
2015-03-30 05:15:00,56.276
2015-03-30 05:30:00,56.276
2015-03-30 05:45:00,55.9556
2015-03-30 06:00:00,55.321
2015-03-30 06:15:00,56.3833
2015-03-30 06:30:00,55.8492
2015-03-30 06:45:00,55.8492
2015-03-30 07:00:00,56.0622
2015-03-30 07:15:00,54.7985
2015-03-30 07:30:00,55.1113
2015-03-30 07:45:00,54.7985
2015-03-30 08:00:00,54.7985
2015-03-30 08:15:00,54.5912
2015-03-30 08:30:00,54.6947
2015-03-30 08:45:00,53.7711
2015-03-30 09:00:00,53.8728
2015-03-30 09:15:00,53.2661
2015-03-30 09:30:00,53.7711
2015-03-30 09:45:00,53.2661
2015-03-30 10:00:00,53.1659
2015-03-30 10:15:00,52.6679
2015-03-30 10:30:00,52.4703
2015-03-30 10:45:00,52.569
2015-03-30 11:00:00,51.4004
2015-03-30 11:15:00,52.1757
2015-03-30 11:30:00,51.6894
2015-03-30 11:45:00,50.7343
2015-03-30 12:00:00,50.5461
2015-03-30 12:15:00,50.2655
2015-03-30 12:30:00,49.7106
2015-03-30 12:45:00,49.2546
2015-03-30 13:00:00,48.8045
2015-03-30 13:15:00,48.7152
2015-03-30 13:30:00,47.748
2015-03-30 13:45:00,48.3602
2015-03-30 14:00:00,47.5751
2015-03-30 14:15:00,47.748
2015-03-30 14:30:00,47.2323
2015-03-30 14:45:00,47.0623
2015-03-30 15:00:00,46.809
2015-03-30 15:15:00,46.5578
2015-03-30 15:30:00,47.3177
2015-03-30 15:45:00,47.6614
2015-03-30 16:00:00,48.272
2015-03-30 16:15:00,49.0739
2015-03-30 16:30:00,49.3454
2015-03-30 16:45:00,50.9235
2015-03-30 17:00:00,51.1136
2015-03-30 17:15:00,50.7343
2015-03-30 17:30:00,52.6679
