agency_cd,site_no,datetime,tz_cd,01_00060,01_00060_cd
USGS,9073300,5/6/16 9:00,MDT,55,P
USGS,9073300,5/6/16 9:15,MDT,55,P
USGS,9073300,5/6/16 9:30,MDT,55,P
USGS,9073300,5/6/16 9:45,MDT,55,P
USGS,9073300,5/6/16 10:00,MDT,53,P
USGS,9073300,5/6/16 10:15,MDT,53,P
USGS,9073300,5/6/16 10:30,MDT,53,P
USGS,9073300,5/6/16 10:45,MDT,53,P
USGS,9073300,5/6/16 11:00,MDT,52,P
USGS,9073300,5/6/16 11:15,MDT,53,P
USGS,9073300,5/6/16 11:30,MDT,53,P
USGS,9073300,5/6/16 11:45,MDT,53,P
USGS,9073300,5/6/16 12:00,MDT,52,P
USGS,9073300,5/6/16 12:15,MDT,53,P
